iter	Passed	Remaining
583	14608	10405
584	14613	10366
585	14618	10327
586	14623	10288
587	14628	10249
588	14633	10211
589	14638	10172
590	14643	10134
591	14648	10095
592	14654	10057
593	14659	10019
594	14664	9981
595	14669	9943
596	14674	9905
597	14679	9868
598	14684	9830
599	14689	9792
600	14694	9755
601	14699	9718
602	14704	9681
603	14709	9644
604	14714	9607
605	14720	9570
606	14725	9533
607	14730	9497
608	14735	9460
609	14740	9423
610	14745	9387
611	14750	9351
612	14755	9315
613	14760	9279
614	14765	9243
615	14770	9207
616	14775	9172
617	14780	9136
618	14785	9100
619	14791	9065
620	14796	9030
621	14801	8995
622	14806	8960
623	14811	8924
624	14816	8890
625	14822	8855
626	14827	8820
627	14832	8786
628	14837	8751
629	14842	8717
630	14847	8682
631	14852	8648
632	14857	8614
633	14862	8580
634	14868	8546
635	14873	8512
636	14878	8478
637	14883	8444
638	14889	8411
639	14894	8378
640	14899	8344
641	14904	8311
642	14909	8277
643	14914	8244
644	14919	8211
645	14924	8178
646	14929	8145
647	14934	8112
648	14939	8079
649	14944	8047
650	14949	8014
651	14954	7981
652	14959	7949
653	14964	7917
654	14969	7884
655	14974	7852
656	14980	7820
657	14985	7788
658	14990	7756
659	14994	7724
660	14999	7692
661	15004	7661
662	15009	7629
663	15014	7597
664	15020	7566
665	15025	7535
666	15030	7503
667	15035	7472
668	15040	7441
669	15045	7410
670	15050	7379
671	15055	7348
672	15060	7317
673	15066	7287
674	15070	7256
675	15075	7225
676	15081	7195
677	15087	7165
678	15095	7136
679	15102	7106
680	15109	7077
681	15115	7047
682	15120	7017
683	15125	6987
684	15131	6958
685	15136	6928
686	15141	6898
687	15147	6869
688	15152	6839
689	15157	6809
690	15162	6780
691	15167	6750
692	15173	6721
693	15178	6692
694	15183	6663
695	15188	6633
696	15193	6604
697	15198	6575
698	15203	6546
699	15208	6517
700	15213	6489
701	15218	6460
702	15223	6431
703	15228	6403
704	15234	6374
705	15239	6346
706	15244	6317
707	15249	6289
708	15254	6260
709	15259	6232
710	15264	6204
711	15269	6176
712	15273	6148
713	15278	6119
714	15283	6091
715	15287	6063
716	15291	6035
717	15295	6007
718	15300	5979
719	15304	5951
720	15309	5924
721	15314	5896
722	15318	5868
723	15323	5841
724	15327	5814
725	15332	5786
726	15337	5759
727	15342	5732
728	15346	5705
729	15351	5677
730	15356	5650
731	15360	5623
732	15365	5596
733	15369	5570
734	15374	5543
735	15379	5516
736	15384	5489
737	15388	5463
738	15394	5437
739	15399	5410
740	15404	5384
741	15409	5357
742	15414	5331
743	15419	5305
744	15424	5279
745	15429	5253
746	15434	5227
747	15439	5201
748	15444	5175
749	15449	5149
750	15454	5124
751	15459	5098
752	15464	5072
753	15469	5047
754	15475	5021
755	15479	4996
756	15485	4970
757	15490	4945
758	15496	4920
759	15501	4895
760	15507	4870
761	15512	4845
762	15518	4820
763	15524	4795
764	15529	4770
765	15535	4745
766	15540	4720
767	15546	4696
768	15552	4671
769	15557	4647
770	15563	4622
771	15568	4598
772	15574	4573
773	15579	4549
774	15588	4525
775	15595	4501
776	15601	4477
777	15607	4453
778	15613	4429
779	15618	4405
780	15624	4381
781	15629	4357
782	15634	4332
783	15640	4309
784	15645	4285
785	15650	4261
786	15655	4237
787	15660	4213
788	15666	4189
789	15671	4165
790	15677	4142
